CalyptoResourceStats

      total        good         bad |       total         max        good         bad | name
=== Resources Used ==================================================================================================================================

         1x                         |       15.6s       15.6s                         | TOP
         0x                         |        0.0s                                     | TOP::CBdd
      2784x                         |        1.0s        0.3s                         | TOP::CGEN_GENERATE_COMPONENT
      3403x                         |        0.0s        0.0s                         | TOP::CMDs
         1x                         |        0.0s        0.0s                         | TOP::CMDs::__annotate_default_sa_vectorless_flow
         1x                         |        0.0s        0.0s                         | TOP::CMDs::__assign_hier_depths
         1x                         |        0.0s        0.0s                         | TOP::CMDs::__auto_infer_clocks
         1x                         |        0.7s        0.7s                         | TOP::CMDs::__calc_all_seq_power
         1x                         |        0.0s        0.0s                         | TOP::CMDs::__cdb_resolve_power_intent
         1x                         |        0.0s        0.0s                         | TOP::CMDs::__generate_identity_powerpro_maps
         4x                         |        0.0s        0.0s                         | TOP::CMDs::__handle_complex_clocks
         2x                         |        0.0s        0.0s                         | TOP::CMDs::__handle_constant_clocks
         1x                         |        0.0s        0.0s                         | TOP::CMDs::__handle_dw_comp
         1x                         |        0.0s        0.0s                         | TOP::CMDs::__has_inout
       121x                         |        0.0s        0.0s                         | TOP::CMDs::__is_powerpro
         1x                         |        0.0s        0.0s                         | TOP::CMDs::__mark_clock_fanin_constraints
         1x                         |        0.0s        0.0s                         | TOP::CMDs::__mark_constraint_on_const_flops
         1x                         |        0.0s        0.0s                         | TOP::CMDs::__mark_constraint_on_internal_flops
         1x                         |        0.0s        0.0s                         | TOP::CMDs::__mark_constraints_on_power_domain_boundary
         1x                         |        0.0s        0.0s                         | TOP::CMDs::__mark_constraints_on_power_opt_ports
         2x                         |        0.0s        0.0s                         | TOP::CMDs::__multiple_instance_prop_on_hier
         1x                         |        0.0s        0.0s                         | TOP::CMDs::__opt_constrain_memories
         1x                         |        0.0s        0.0s                         | TOP::CMDs::__optimize_libcells
         1x                         |        0.0s        0.0s                         | TOP::CMDs::__pa_batched_mem_ctrl_sim
         1x                         |        0.0s        0.0s                         | TOP::CMDs::__pa_cmd_compare_clk_period_with_td
         3x                         |        0.0s        0.0s                         | TOP::CMDs::__pa_cmd_get_pow_detail
         1x                         |        0.0s        0.0s                         | TOP::CMDs::__pa_do_phy_based_setup
         1x                         |        0.0s        0.0s                         | TOP::CMDs::__pa_name_matching_based_netcap_annotation
         1x                         |        0.0s        0.0s                         | TOP::CMDs::__pa_preserve_user_sa_during_miter
         1x                         |        0.0s        0.0s                         | TOP::CMDs::__phy_create_models_from_spef
         1x                         |        0.0s        0.0s                         | TOP::CMDs::__phy_get_info
         1x                         |        0.0s        0.0s                         | TOP::CMDs::__phy_spef_sanity
         1x                         |        0.0s        0.0s                         | TOP::CMDs::__postprocess_multi_vth_constraint
         1x                         |        0.0s        0.0s                         | TOP::CMDs::__process_hier_power_models
         1x                         |        0.0s        0.0s                         | TOP::CMDs::__process_memories
         1x                         |        0.0s        0.0s                         | TOP::CMDs::__propagate_user_sa_across_buf_inv
         1x                         |        0.0s        0.0s                         | TOP::CMDs::__set_default_sa_inout_bbox_ports
         1x                         |        0.0s        0.0s                         | TOP::CMDs::__sls_check_mem_tech_cell_area
         1x                         |        0.0s        0.0s                         | TOP::CMDs::__sls_check_poweropt
         2x                         |        0.0s        0.0s                         | TOP::CMDs::__sls_flops_clock_gated_percentage
         1x                         |        0.0s        0.0s                         | TOP::CMDs::__sls_fsdb_vcd_saif_executed
         3x                         |        0.0s        0.0s                         | TOP::CMDs::__sls_generate_synchronizer_scheme_files
         1x                         |        0.0s        0.0s                         | TOP::CMDs::__sls_is_cg_mg_optimization_allowed
         2x                         |        0.0s        0.0s                         | TOP::CMDs::__sls_perform_case_anal_clk_ntwk
         2x                         |        0.0s        0.0s                         | TOP::CMDs::__sls_preserve_port_prob
         2x                         |        0.0s        0.0s                         | TOP::CMDs::__sls_process_verification_global
         1x                         |        0.0s        0.0s                         | TOP::CMDs::__sls_sanitize_mem_libcell_binding
         9x                         |        0.0s        0.0s                         | TOP::CMDs::__sls_scheme_list_schemes
         4x                         |        0.1s        0.1s                         | TOP::CMDs::__sls_scheme_match_scheme_in_design
         4x                         |        0.0s        0.0s                         | TOP::CMDs::__sls_scheme_read_scheme_file
         4x                         |        0.0s        0.0s                         | TOP::CMDs::__sls_scheme_remove_scheme
         3x                         |        0.0s        0.0s                         | TOP::CMDs::__sls_scheme_set_status
         1x                         |        0.0s        0.0s                         | TOP::CMDs::__sls_set_dont_optimize_arst_one_flops
         1x                         |        0.0s        0.0s                         | TOP::CMDs::__sta_get_clock_domain_for_clock_root
         2x                         |        0.0s        0.0s                         | TOP::CMDs::__sta_propagate_clock_info
         1x                         |        0.0s        0.0s                         | TOP::CMDs::__warn_toggle_change_accross_flop
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_apply_mode_constraint
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_apply_set_driving_cell
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_auto_replace_matching_cgic
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_bit_blast_constant_sinks
         3x                         |        0.0s        0.0s                         | TOP::CMDs::_break_comb_loops
         2x                         |        0.0s        0.0s                         | TOP::CMDs::_buf_rm
         2x                         |        0.2s        0.2s                         | TOP::CMDs::_characterize_library_impl
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_check_fsdb_reader_writer
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_clock_def_check
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_clocked_data_ports_check
         2x                         |        0.1s        0.0s                         | TOP::CMDs::_consistency_check
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_convert_macroff_to_nmacroff
         3x                         |        0.2s        0.1s                         | TOP::CMDs::_db_normalize
         4x                         |        0.0s        0.0s                         | TOP::CMDs::_deadcode_elim
         8x                         |        0.0s        0.0s                         | TOP::CMDs::_defer_messages
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_detect_powerpro_generated_netlist
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_disable_resetting_cg_min_size
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_do_unmap
         1x                         |        0.1s        0.1s                         | TOP::CMDs::_do_width_optimize
         1x                         |        0.2s        0.2s                         | TOP::CMDs::_do_wls_extract
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_ecc_logic_detection
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_fsdb_to_sa
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_generate_clocked_data_ports
         3x                         |        0.0s        0.0s                         | TOP::CMDs::_get_area
         3x                         |        0.0s        0.0s                         | TOP::CMDs::_get_new_mods
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_get_powerpro_mode
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_get_registered_clock_roots
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_infer_muxlatch
         2x                         |        0.0s        0.0s                         | TOP::CMDs::_insert_bbox_on_hardop
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_isolate_inout_ports
       689x                         |        0.0s        0.0s                         | TOP::CMDs::_issue_msg
        23x                         |        0.0s        0.0s                         | TOP::CMDs::_log_env_access
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_mem_cell_2_mem_mod
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_merge_cdbmerge_node
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_mux_opt
         3x                         |        0.4s        0.1s                         | TOP::CMDs::_optimize_
         2x                         |        0.0s        0.0s                         | TOP::CMDs::_pla_merge
         2x                         |        0.1s        0.1s                         | TOP::CMDs::_ppro_print_prototype_summary
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_ppro_remove_userenable_attr_on_always_enable_flops
         6x                         |        0.0s        0.0s                         | TOP::CMDs::_preserve_nodes
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_process_bit_level_clocks
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_process_resets
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_reduce_comparators
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_remove_transparent_latch
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_rename_operators
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_replace_latches_with_ff
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_report_bitlevel_hiers
         6x                         |        0.1s        0.0s                         | TOP::CMDs::_report_design
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_report_dut_tree
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_report_efficiency
         1x                         |        0.1s        0.1s                         | TOP::CMDs::_report_enable_logic
         1x                         |        0.1s        0.1s                         | TOP::CMDs::_report_flop_info
         1x                         |        0.1s        0.1s                         | TOP::CMDs::_report_hier_info
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_resolve_multi_drivers
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_restruct
         8x                         |        0.0s        0.0s                         | TOP::CMDs::_set_command_access
        94x                         |        0.0s        0.0s                         | TOP::CMDs::_set_message_audience
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_sls_bist_detection
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_sls_cmd_report_tech_cells
        66x                         |        0.0s        0.0s                         | TOP::CMDs::_sls_flow_state
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_split_flop
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_syn_bsel_concat
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_synthesize_write_enable
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_ta_get_default_clock
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_tcldict_to_json
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_uniqify
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_visualize_clock_tree
         1x                         |        0.0s        0.0s                         | TOP::CMDs::analyze_cycle_based_redundancies
        30x                         |        0.0s        0.0s                         | TOP::CMDs::append_global
